index,10May2021,18Dec2020,distance_px
0,7a184aa8-0a6c-42d8-9067-9671c9b6908e,72db286c-c96f-4cc7-82a6-b08aac203237,N/A
1,b4447ae1-b331-4ce9-b17d-762b1d1db39b,20bbb1a3-4194-4da9-8a21-82162f54d492,N/A
2,2c761c77-a611-442e-96e6-276e0dbfe8e0,e01acf57-45f9-426a-b097-dc39da203cd6,N/A
3,b6c7c941-2d92-414a-b6c4-ddddf09d6041,cb121bc6-7bda-479d-adf1-35a6fb179c11,N/A
4,364f0ec5-37ff-4c50-a5d8-dd68004d046f,0953b790-6414-435f-a8b5-041b46ca6c1a,N/A
5,ae5f63fd-3793-437f-ba8d-b2809a96915b,e381087f-bc38-43e0-ae64-157d3f559da1,N/A
6,4246a7f4-9b7a-4f4c-8f16-7c1ad2ccd04a,7f9f5cae-5170-45a2-9880-d702bdeca3ba,N/A
7,08f973b0-9e81-4fe0-8fe3-b0b73f958a1a,956fcbec-cd1b-4a6b-b324-29b6b84ade58,N/A
8,dc770eb7-6f17-42e4-a6c7-d7acae9db577,47bf216a-afe8-47a1-b285-4650788c5ccd,N/A
10,85b202b4-b189-4ae2-8cb0-94c954b4ffbe,a8a2d292-43ca-4666-a153-ceee0313ab20,N/A
11,8cd6a49c-3c1b-4603-b7c6-d404f9a763df,3f169b52-00b4-4dd9-a819-4019f2e263a4,N/A
12,91ad6d8e-086a-4b83-bc1a-f35af9b303d3,24251e45-4f42-4f67-a621-c419412eafd0,N/A
13,d8dbac93-e24b-408c-9458-dd9e015b7c2b,9d492b0d-6eda-47a7-b9e4-9e184f42b59d,N/A
14,5bb5f01d-ff46-4fbd-9740-471434c63660,1286d90b-80cc-46c7-91df-059db4e9d24b,N/A
15,5dfab69a-b3ad-4f83-b0fd-59dcfbad9f45,ef9db27e-97c6-48d6-bb52-9ffd9f316903,N/A
16,1b53b4dd-6990-4871-a69a-c058847fb188,0c014155-d539-48b1-9d23-f9e3633fb5f5,N/A
17,547ea095-f7e0-437d-b575-c394791daaf7,281951dd-b694-411c-bbd0-dd49751a4055,N/A
18,670a4e3c-64de-4ab9-b880-2654c2ab2fbd,f76a8869-9eac-4772-9440-b34884549495,N/A
19,11234384-3e8b-4dda-939e-6157128d9c1a,cbc270a4-e234-4b22-ae23-441b07a239ae,N/A
20,d3b59491-193b-42c7-b895-48dc042228a3,2b0167d3-3f81-4402-b361-364f12fe5164,N/A
21,d8db79b3-79d2-48dc-90da-de91b2c383ff,d51fd6df-31f0-45d4-a7bd-1797b781b894,N/A
22,42290661-524a-4453-9377-198d7e656ac0,e03bb076-2d91-49a8-8bc6-32fd1d03c189,N/A
23,7591c988-3bb8-4aa0-abf9-5de72fb4906d,18d44059-ecc3-473e-b9cb-456d4369440e,N/A
24,011fa388-0e51-4d57-875c-867ff70ae473,30904607-8bd0-44a6-ab26-c993dd6529b9,N/A
25,3271bda9-5e7d-434e-9b52-42db0a244603,e215cc2e-af22-45a7-a9a7-e4a7efa2670d,N/A
26,6ab4f574-9e3e-43d8-81ea-caa6245865ee,231692c4-0b0e-4f41-a578-963abbcf69ca,N/A
27,4e2901e0-59ab-410a-bb98-9948d4be7427,78c2381c-f2eb-441b-a120-502a5e08b132,N/A
29,6d58275c-73db-4b44-ac6d-e0e20d00a49b,f2c0ddd1-6bdf-4238-951c-87e03ce06d0f,N/A
30,ae47c4f2-0666-40a7-a022-7a4c8a9011e4,1b728c92-c88f-4c39-ab34-a9b396377123,N/A
31,75f0d00f-0a88-4e43-9abc-07bfe3fdf605,d7ec84f1-a471-4309-9bba-fe157a932241,N/A
32,18ac84ac-6306-4c94-b246-39735b601374,94b1faa7-dbac-4749-b5b9-f4eaa6c65fe0,N/A
