index,name,src,uuid,minr,minc,maxr,maxc
0,Falcataria Moluccana,10May2021,7a184aa8-0a6c-42d8-9067-9671c9b6908e,2310,2323,3100,2918
1,Ficus Variegata,10May2021,b4447ae1-b331-4ce9-b17d-762b1d1db39b,2565,1089,3063,1612
2,Bridelia Sp.,10May2021,2c761c77-a611-442e-96e6-276e0dbfe8e0,3285,1314,3739,2043
3,Falcataria Moluccana,10May2021,b6c7c941-2d92-414a-b6c4-ddddf09d6041,4421,1516,5029,2230
4,Falcataria Moluccana,10May2021,364f0ec5-37ff-4c50-a5d8-dd68004d046f,5330,2054,6567,2548
5,Spathodea Campanulatum,10May2021,ae5f63fd-3793-437f-ba8d-b2809a96915b,4319,2800,4705,3232
6,Terminalia Catappa,10May2021,4246a7f4-9b7a-4f4c-8f16-7c1ad2ccd04a,5409,3143,6060,3899
7,Spathodea Campanulatum,10May2021,08f973b0-9e81-4fe0-8fe3-b0b73f958a1a,6096,2823,6539,3069
8,Shorea Leprosula,10May2021,dc770eb7-6f17-42e4-a6c7-d7acae9db577,6325,4105,6448,4209
9,Syzygium Polyanthum,10May2021,4d238933-cd3f-40b2-a12b-4cb33615a5db,6087,3980,6261,4171
10,Cinnamomum Iners,10May2021,85b202b4-b189-4ae2-8cb0-94c954b4ffbe,6581,4012,6901,4247
11,Clausena Excavata,10May2021,8cd6a49c-3c1b-4603-b7c6-d404f9a763df,6551,4279,6720,4391
12,Cinnamomum Iners,10May2021,91ad6d8e-086a-4b83-bc1a-f35af9b303d3,6274,4374,6566,4618
13,Alstonia Angulstiloba,10May2021,d8dbac93-e24b-408c-9458-dd9e015b7c2b,5687,4222,5945,4508
14,Spathodea Campanulatum,10May2021,5bb5f01d-ff46-4fbd-9740-471434c63660,4979,4061,5231,4337
15,Clausena Excavata,10May2021,5dfab69a-b3ad-4f83-b0fd-59dcfbad9f45,4150,3323,4398,3550
16,Syzygium Polyanthum,10May2021,1b53b4dd-6990-4871-a69a-c058847fb188,3998,3539,4184,3696
17,Sandoricum Koetjape,10May2021,547ea095-f7e0-437d-b575-c394791daaf7,3474,3318,3790,3536
18,Sterculia Parviflora,10May2021,670a4e3c-64de-4ab9-b880-2654c2ab2fbd,3231,3477,3424,3653
19,Alstonia Angulstiloba,10May2021,11234384-3e8b-4dda-939e-6157128d9c1a,2983,3746,3267,4083
20,Claoxylon Indicum,10May2021,d3b59491-193b-42c7-b895-48dc042228a3,2253,3144,2539,3329
21,Bridelia Sp.,10May2021,d8db79b3-79d2-48dc-90da-de91b2c383ff,2074,3310,2244,3592
22,Pometia Pinnata,10May2021,42290661-524a-4453-9377-198d7e656ac0,2419,3797,2561,3935
23,Sterculia Parviflora,10May2021,7591c988-3bb8-4aa0-abf9-5de72fb4906d,2530,3963,2650,4063
24,Calophyllum,10May2021,011fa388-0e51-4d57-875c-867ff70ae473,2672,3842,2749,3927
25,Pennisetum Purpureum,10May2021,3271bda9-5e7d-434e-9b52-42db0a244603,2362,3428,2646,3749
26,Sterculia Parviflora,10May2021,6ab4f574-9e3e-43d8-81ea-caa6245865ee,2790,4034,2879,4123
27,Campnosperma Auriculatum,10May2021,4e2901e0-59ab-410a-bb98-9948d4be7427,712,4220,1437,4572
29,Dillenia Suffruticosa,10May2021,6d58275c-73db-4b44-ac6d-e0e20d00a49b,3059,4569,3148,4669
30,Sterculia Parviflora,10May2021,ae47c4f2-0666-40a7-a022-7a4c8a9011e4,3328,4045,3470,4187
31,Ficus Variegata,10May2021,75f0d00f-0a88-4e43-9abc-07bfe3fdf605,6864,3729,7266,3949
32,Spathodea Campanulatum,10May2021,18ac84ac-6306-4c94-b246-39735b601374,1527,2907,1940,3307
66,Cratoxylum Formosum,10May2021,275d95ec-e1cd-48f2-91a4-4ec2efca5c20,6138,4664,6922,4880
